Program Internal Form (PIF):
('function', 0, -1)
('verifyIfPrime', 36, '4.1')
('(', 28, -1)
('int', 10, -1)
('a', 36, '6.1')
(')', 29, -1)
('if', 2, -1)
('(', 28, -1)
('a', 36, '6.1')
('<=', 22, -1)
('1', 35, '2.1')
(')', 29, -1)
('result', 9, -1)
('->', 26, -1)
('0', 35, '1.1')
(';', 32, -1)
('endif', 3, -1)
('if', 2, -1)
('(', 28, -1)
('a', 36, '6.1')
('==', 23, -1)
('2', 35, '1.2')
(')', 29, -1)
('result', 9, -1)
('->', 26, -1)
('1', 35, '2.1')
(';', 32, -1)
('endif', 3, -1)
('if', 2, -1)
('(', 28, -1)
('a', 36, '6.1')
('%', 19, -1)
('2', 35, '1.2')
('==', 23, -1)
('0', 35, '1.1')
(')', 29, -1)
('result', 9, -1)
('->', 26, -1)
('0', 35, '1.1')
(';', 32, -1)
('endif', 3, -1)
('for', 5, -1)
('(', 28, -1)
('int', 10, -1)
('d', 36, '6.2')
('=', 27, -1)
('3', 35, '3.1')
(';', 32, -1)
('d', 36, '6.2')
('*', 17, -1)
('d', 36, '6.2')
('<=', 22, -1)
('a', 36, '6.1')
(';', 32, -1)
('d', 36, '6.2')
('+=', 34, -1)
('2', 35, '1.2')
(')', 29, -1)
('if', 2, -1)
('(', 28, -1)
('a', 36, '6.1')
('%', 19, -1)
('d', 36, '6.2')
('==', 23, -1)
('0', 35, '1.1')
(')', 29, -1)
('result', 9, -1)
('->', 26, -1)
('0', 35, '1.1')
(';', 32, -1)
('endif', 3, -1)
('endfor', 6, -1)
('result', 9, -1)
('->', 26, -1)
('1', 35, '2.1')
(';', 32, -1)
('endfunction', 1, -1)
